year,tmID,coachID,win_ratio,prev_win_ratio,win_ratio_change,rank,prev_rank,rank_change,playoff,prev_playoff,playoff_miss,rolling_win_ratio_3yr,playoff_miss_streak,years_with_team,expectation_gap,team_stability_index,coach_changed_next_year
9,SAC,bouceje01w,0.5294117647058824,0.5588235294117647,-0.02941176470588236,4,3.0,-1.0,Y,Y,0,0.5686274509803922,0,2,-0.03921568627450989,0.3333333333333333,0
10,SAC,bouceje01w,0.23076923076923078,0.5294117647058824,-0.2986425339366516,6,4.0,-2.0,N,Y,1,0.43966817496229266,1,3,-0.20889894419306188,0.3333333333333333,1
3,ORL,brownde01w,0.5,0.40625,0.09375,5,5.0,0.0,N,N,0,0.453125,2,1,0.046875,1.0,1
5,SAS,brownde01w,0.23076923076923078,0.2727272727272727,-0.041958041958041925,7,6.0,-1.0,N,N,0,0.2517482517482518,2,1,-0.02097902097902099,1.0,1
6,LAS,bryanjo01w,0.6666666666666666,0.4642857142857143,0.20238095238095233,4,4.0,0.0,Y,Y,0,0.6388888888888888,0,1,0.02777777777777779,0.5,0
7,LAS,bryanjo01w,0.7352941176470589,0.6666666666666666,0.06862745098039225,1,4.0,3.0,Y,Y,0,0.6220821661998133,0,2,0.1132119514472456,0.6666666666666666,1
2,HOU,chancva99w,0.59375,0.84375,-0.25,4,2.0,-2.0,Y,Y,0,0.59375,0,1,0.0,0.0,0
3,HOU,chancva99w,0.75,0.59375,0.15625,2,4.0,2.0,Y,Y,0,0.671875,0,2,0.078125,0.0,0
4,HOU,chancva99w,0.5882352941176471,0.75,-0.16176470588235292,2,2.0,0.0,Y,Y,0,0.6439950980392157,0,3,-0.05575980392156865,0.0,0
5,HOU,chancva99w,0.38235294117647056,0.5882352941176471,-0.20588235294117652,6,2.0,-4.0,N,Y,1,0.573529411764706,1,4,-0.1911764705882354,0.0,0
6,HOU,chancva99w,0.5588235294117647,0.38235294117647056,0.17647058823529416,3,6.0,3.0,Y,N,0,0.5098039215686274,0,5,0.0490196078431373,0.0,0
7,HOU,chancva99w,0.5294117647058824,0.5588235294117647,-0.02941176470588236,3,3.0,0.0,Y,Y,0,0.4901960784313726,0,6,0.039215686274509776,0.3333333333333333,1
2,PHO,coopecy01w,0.40625,0.625,-0.21875,5,4.0,-1.0,N,Y,1,0.40625,1,1,0.0,0.0,0
3,PHO,coopecy01w,0.6,0.40625,0.19374999999999998,7,5.0,-2.0,N,N,0,0.503125,2,2,0.09687499999999993,0.5,1
2,LAS,coopemi01w,0.875,0.875,0.0,1,1.0,0.0,Y,Y,0,0.875,0,1,0.0,0.3333333333333333,0
3,LAS,coopemi01w,0.78125,0.875,-0.09375,1,1.0,0.0,Y,Y,0,0.828125,0,2,-0.046875,0.3333333333333333,0
4,LAS,coopemi01w,0.7058823529411765,0.78125,-0.07536764705882348,1,1.0,0.0,Y,Y,0,0.7873774509803922,0,3,-0.08149509803921573,0.0,0
5,LAS,coopemi01w,0.7,0.7058823529411765,-0.005882352941176561,1,1.0,0.0,Y,Y,0,0.7290441176470588,0,4,-0.02904411764705883,0.3333333333333333,1
8,LAS,coopemi01w,0.29411764705882354,0.7352941176470589,-0.44117647058823534,7,1.0,-6.0,N,Y,1,0.565359477124183,1,5,-0.27124183006535946,0.3333333333333333,0
9,LAS,coopemi01w,0.5882352941176471,0.29411764705882354,0.29411764705882354,3,7.0,4.0,Y,N,0,0.5392156862745098,0,6,0.0490196078431373,0.3333333333333333,0
10,LAS,coopemi01w,0.5294117647058824,0.5882352941176471,-0.05882352941176472,3,3.0,0.0,Y,Y,0,0.4705882352941177,0,7,0.05882352941176466,0.3333333333333333,1
5,NYL,coylepa99w,0.6111111111111112,0.4375,0.17361111111111116,2,2.0,0.0,Y,Y,0,0.5063997821350763,0,1,0.10471132897603486,0.3333333333333333,0
6,NYL,coylepa99w,0.5294117647058824,0.6111111111111112,-0.0816993464052288,3,2.0,-1.0,Y,Y,0,0.5260076252723311,0,2,0.003404139433551223,0.3333333333333333,0
7,NYL,coylepa99w,0.3235294117647059,0.5294117647058824,-0.20588235294117646,5,3.0,-2.0,N,Y,1,0.48801742919389973,1,3,-0.16448801742919383,0.0,0
8,NYL,coylepa99w,0.47058823529411764,0.3235294117647059,0.14705882352941174,4,5.0,1.0,Y,N,0,0.4411764705882353,0,4,0.02941176470588236,0.0,0
9,NYL,coylepa99w,0.5588235294117647,0.47058823529411764,0.08823529411764708,3,4.0,1.0,Y,Y,0,0.45098039215686275,0,5,0.10784313725490197,0.0,0
10,NYL,coylepa99w,0.35294117647058826,0.5588235294117647,-0.20588235294117646,7,3.0,-4.0,N,Y,1,0.46078431372549017,1,6,-0.10784313725490191,0.3333333333333333,1
5,SAS,dailesh99w,0.375,0.23076923076923078,0.14423076923076922,7,7.0,0.0,N,N,0,0.29283216783216787,3,1,0.08216783216783213,1.0,1
2,CHA,donovan99w,0.5625,0.25,0.3125,4,8.0,4.0,Y,N,0,0.5625,0,1,0.0,0.6666666666666666,0
3,CHA,donovan99w,0.5625,0.5625,0.0,2,4.0,2.0,Y,Y,0,0.5625,0,2,0.0,0.6666666666666666,1
10,NYL,donovan99w,0.4117647058823529,0.35294117647058826,0.05882352941176466,7,7.0,0.0,N,N,0,0.4411764705882353,2,1,-0.02941176470588236,0.6666666666666666,1
4,SEA,donovan99w,0.5294117647058824,0.53125,-0.0018382352941176405,5,4.0,-1.0,N,Y,1,0.4577205882352941,1,1,0.07169117647058826,0.3333333333333333,0
5,SEA,donovan99w,0.5882352941176471,0.5294117647058824,0.05882352941176472,2,5.0,3.0,Y,N,0,0.5496323529411765,0,2,0.03860294117647056,0.3333333333333333,0
6,SEA,donovan99w,0.5882352941176471,0.5882352941176471,0.0,2,2.0,0.0,Y,Y,0,0.5686274509803922,0,3,0.019607843137254832,0.0,0
7,SEA,donovan99w,0.5294117647058824,0.5882352941176471,-0.05882352941176472,4,2.0,-2.0,Y,Y,0,0.5686274509803922,0,4,-0.03921568627450989,0.0,0
8,SEA,donovan99w,0.5,0.5294117647058824,-0.02941176470588236,4,4.0,0.0,Y,Y,0,0.5392156862745098,0,5,-0.039215686274509776,0.3333333333333333,1
9,IND,dunnli99wc,0.5,0.6176470588235294,-0.11764705882352944,4,2.0,-2.0,Y,Y,0,0.5784313725490197,0,1,-0.07843137254901966,0.0,0
10,IND,dunnli99wc,0.6470588235294118,0.5,0.1470588235294118,1,4.0,3.0,Y,Y,0,0.5882352941176471,0,2,0.05882352941176472,0.5,1
2,SEA,dunnli99wc,0.3125,0.1875,0.125,8,8.0,0.0,N,N,0,0.3125,1,1,0.0,0.3333333333333333,0
3,SEA,dunnli99wc,0.53125,0.3125,0.21875,4,8.0,4.0,Y,N,0,0.421875,0,2,0.109375,0.6666666666666666,1
2,IND,fortnne99w,0.3125,0.28125,0.03125,6,7.0,1.0,N,N,0,0.3125,1,1,0.0,0.3333333333333333,0
3,IND,fortnne99w,0.5,0.3125,0.1875,4,6.0,2.0,Y,N,0,0.40625,0,2,0.09375,0.3333333333333333,0
4,IND,fortnne99w,0.47058823529411764,0.5,-0.02941176470588236,5,4.0,-1.0,N,Y,1,0.4276960784313726,1,3,0.04289215686274506,0.3333333333333333,1
9,PHO,gaineco01w,0.47058823529411764,0.6764705882352942,-0.20588235294117652,6,1.0,-5.0,N,Y,1,0.5588235294117648,1,1,-0.08823529411764719,0.3333333333333333,0
10,PHO,gaineco01w,0.6764705882352942,0.47058823529411764,0.20588235294117652,1,6.0,5.0,Y,N,0,0.607843137254902,0,2,0.06862745098039214,0.6666666666666666,1
10,MIN,gilloje01w,0.4117647058823529,0.47058823529411764,-0.05882352941176472,5,7.0,2.0,N,N,0,0.39215686274509803,6,1,0.019607843137254888,0.6666666666666666,1
5,PHO,grafca99wc,0.5,0.23529411764705882,0.2647058823529412,5,7.0,2.0,N,N,0,0.32085561497326204,5,1,0.17914438502673796,0.3333333333333333,0
6,PHO,grafca99wc,0.47058823529411764,0.5,-0.02941176470588236,5,5.0,0.0,N,N,0,0.40196078431372545,6,2,0.06862745098039219,0.6666666666666666,1
2,POR,hargrli99w,0.34375,0.3125,0.03125,7,7.0,0.0,N,N,0,0.34375,1,1,0.0,0.0,0
3,POR,hargrli99w,0.5,0.34375,0.15625,5,7.0,2.0,N,N,0,0.421875,2,2,0.078125,0.5,1
4,SAS,harveca99w,0.2727272727272727,0.5,-0.2272727272727273,6,6.0,0.0,N,N,0,0.2727272727272727,1,1,0.0,1.0,1
2,UTA,harveca99w,0.7368421052631579,0.5625,0.17434210526315785,3,5.0,2.0,Y,N,0,0.7368421052631579,0,1,0.0,1.0,1
3,UTA,harveca99w,0.625,0.38461538461538464,0.24038461538461536,3,3.0,0.0,Y,Y,0,0.5821524966261808,0,2,0.04284750337381915,1.0,1
2,CLE,hugheda99w,0.6875,0.53125,0.15625,1,2.0,1.0,Y,Y,0,0.6875,0,1,0.0,0.0,0
3,CLE,hugheda99w,0.3125,0.6875,-0.375,7,1.0,-6.0,N,Y,1,0.5,1,2,-0.1875,0.0,0
4,CLE,hugheda99w,0.5,0.3125,0.1875,4,7.0,3.0,Y,N,0,0.5,0,3,0.0,0.3333333333333333,1
6,SAS,hugheda99w,0.20588235294117646,0.375,-0.16911764705882354,7,7.0,0.0,N,N,0,0.27055052790346906,4,1,-0.0646681749622926,0.6666666666666666,0
7,SAS,hugheda99w,0.38235294117647056,0.20588235294117646,0.1764705882352941,6,7.0,1.0,N,N,0,0.321078431372549,5,2,0.06127450980392157,0.3333333333333333,0
8,SAS,hugheda99w,0.5882352941176471,0.38235294117647056,0.20588235294117652,2,6.0,4.0,Y,N,0,0.392156862745098,0,3,0.1960784313725491,0.0,0
9,SAS,hugheda99w,0.7058823529411765,0.5882352941176471,0.11764705882352944,1,2.0,1.0,Y,Y,0,0.5588235294117647,0,4,0.1470588235294118,0.0,0
10,SAS,hugheda99w,0.4411764705882353,0.7058823529411765,-0.26470588235294124,4,1.0,-3.0,Y,Y,0,0.5784313725490197,0,5,-0.13725490196078438,0.3333333333333333,1
7,MIN,jenkica99w,0.09090909090909091,0.4117647058823529,-0.320855614973262,7,6.0,-1.0,N,N,0,0.3440285204991087,2,1,-0.25311942959001776,1.0,1
9,WAS,kenlaje99w,0.16666666666666666,0.5333333333333333,-0.3666666666666667,6,5.0,-1.0,N,N,0,0.2333333333333333,3,1,-0.06666666666666665,0.6666666666666666,1
9,CHI,keyst99wc,0.35294117647058826,0.4117647058823529,-0.05882352941176466,5,6.0,1.0,N,N,0,0.38235294117647056,2,1,-0.029411764705882304,0.0,0
10,CHI,keyst99wc,0.47058823529411764,0.35294117647058826,0.11764705882352938,5,5.0,0.0,N,N,0,0.411764705882353,3,2,0.05882352941176466,0.5,1
4,CHA,laceytr99w,0.5294117647058824,0.5625,-0.03308823529411764,2,2.0,0.0,Y,Y,0,0.551470588235294,0,1,-0.022058823529411686,0.3333333333333333,0
5,CHA,laceytr99w,0.47058823529411764,0.5294117647058824,-0.05882352941176472,5,2.0,-3.0,N,Y,1,0.5208333333333334,1,2,-0.05024509803921573,0.6666666666666666,1
6,CHA,laceytr99w,0.125,0.3,-0.175,6,6.0,0.0,N,N,0,0.2985294117647059,3,3,-0.17352941176470588,0.6666666666666666,1
3,DET,laimbbi01w,0.4090909090909091,0.3125,0.09659090909090912,8,7.0,-1.0,N,N,0,0.3607954545454546,2,1,0.04829545454545453,1.0,1
4,DET,laimbbi01w,0.7352941176470589,0.0,0.7352941176470589,1,8.0,7.0,Y,N,0,0.3814616755793227,0,2,0.3538324420677362,0.5,0
5,DET,laimbbi01w,0.5,0.7352941176470589,-0.23529411764705888,3,1.0,-2.0,Y,Y,0,0.411764705882353,0,3,0.08823529411764702,0.3333333333333333,0
6,DET,laimbbi01w,0.47058823529411764,0.5,-0.02941176470588236,4,3.0,-1.0,Y,Y,0,0.5686274509803922,0,4,-0.0980392156862746,0.0,0
7,DET,laimbbi01w,0.6764705882352942,0.47058823529411764,0.20588235294117652,2,4.0,2.0,Y,Y,0,0.5490196078431372,0,5,0.12745098039215697,0.0,0
8,DET,laimbbi01w,0.7058823529411765,0.6764705882352942,0.02941176470588236,1,2.0,1.0,Y,Y,0,0.6176470588235294,0,6,0.08823529411764708,0.0,0
9,DET,laimbbi01w,0.6470588235294118,0.7058823529411765,-0.05882352941176472,1,1.0,0.0,Y,Y,0,0.676470588235294,0,7,-0.02941176470588225,0.0,0
10,DET,laimbbi01w,0.3333333333333333,0.6470588235294118,-0.3137254901960785,3,1.0,-2.0,Y,Y,0,0.562091503267974,0,8,-0.22875816993464065,0.3333333333333333,1
2,WAS,maherto99w,0.3125,0.4166666666666667,-0.10416666666666669,8,4.0,-4.0,N,Y,1,0.36458333333333337,1,1,-0.05208333333333337,1.0,1
10,DET,mahorri01w,0.5483870967741935,0.3333333333333333,0.2150537634408602,3,3.0,0.0,Y,Y,0,0.5095930845456462,0,1,0.03879401222854728,0.6666666666666666,1
4,MIN,mcconsu01w,0.5294117647058824,0.3076923076923077,0.22171945701357465,4,8.0,4.0,Y,N,0,0.3842978486941335,0,1,0.14511391601174883,0.6666666666666666,0
5,MIN,mcconsu01w,0.5294117647058824,0.5294117647058824,0.0,3,4.0,1.0,Y,Y,0,0.4555052790346908,0,2,0.07390648567119157,0.3333333333333333,0
6,MIN,mcconsu01w,0.4117647058823529,0.5294117647058824,-0.11764705882352944,6,3.0,-3.0,N,Y,1,0.4901960784313726,1,3,-0.07843137254901966,0.3333333333333333,1
7,MIN,mcconsu01w,0.391304347826087,0.09090909090909091,0.3003952569169961,7,7.0,0.0,N,N,0,0.2979927148725103,3,4,0.0933116329535767,0.6666666666666666,1
2,SAC,mchugma99w,0.7,0.5,0.19999999999999996,2,2.0,0.0,Y,Y,0,0.6,0,1,0.09999999999999998,0.3333333333333333,0
3,SAC,mchugma99w,0.4375,0.7,-0.26249999999999996,6,2.0,-4.0,N,Y,1,0.5458333333333333,1,2,-0.10833333333333328,0.3333333333333333,0
4,SAC,mchugma99w,0.3888888888888889,0.4375,-0.048611111111111105,3,6.0,3.0,Y,N,0,0.5087962962962963,0,3,-0.11990740740740741,0.3333333333333333,1
10,ATL,meadoma99w,0.5294117647058824,0.11764705882352941,0.4117647058823529,2,7.0,5.0,Y,N,0,0.5294117647058824,0,1,0.0,1.0,1
8,CHI,overtbo99w,0.4117647058823529,0.14705882352941177,0.2647058823529411,6,7.0,1.0,N,N,0,0.4117647058823529,1,1,0.0,0.6666666666666666,1
2,ORL,peckca99wc,0.40625,0.5,-0.09375,5,3.0,-2.0,N,Y,1,0.40625,1,1,0.0,1.0,1
10,WAS,plankju99w,0.47058823529411764,0.36363636363636365,0.106951871657754,4,6.0,2.0,Y,N,0,0.333630421865716,0,1,0.13695781342840163,1.0,1
8,WAS,rollitr01w,0.5333333333333333,0.0,0.5333333333333333,5,5.0,0.0,N,N,0,0.3542483660130719,2,1,0.1790849673202614,1.0,1
9,WAS,rollitr01w,0.36363636363636365,0.16666666666666666,0.196969696969697,6,6.0,0.0,N,N,0,0.3545454545454545,4,2,0.00909090909090915,1.0,1
2,MIA,rothsro99w,0.625,0.40625,0.21875,3,6.0,3.0,Y,N,0,0.625,0,1,0.0,0.0,0
3,MIA,rothsro99w,0.46875,0.625,-0.15625,6,3.0,-3.0,N,Y,1,0.546875,1,2,-0.078125,0.5,1
3,PHO,sharpli99w,0.22727272727272727,0.6,-0.3727272727272727,7,7.0,0.0,N,N,0,0.4111742424242424,3,1,-0.18390151515151512,0.6666666666666666,1
4,PHO,shumajo01w,0.23529411764705882,0.22727272727272727,0.008021390374331555,7,7.0,0.0,N,N,0,0.35418894830659536,4,1,-0.11889483065953654,1.0,1
3,WAS,stanlma99w,0.53125,0.3125,0.21875,3,8.0,5.0,Y,N,0,0.4201388888888889,0,1,0.1111111111111111,0.6666666666666666,0
4,WAS,stanlma99w,0.2647058823529412,0.53125,-0.2665441176470588,7,3.0,-4.0,N,Y,1,0.369485294117647,1,2,-0.10477941176470584,0.6666666666666666,1
5,CON,thibami99w,0.5294117647058824,0.5294117647058824,0.0,1,3.0,2.0,Y,Y,0,0.5294117647058824,0,1,0.0,0.0,0
6,CON,thibami99w,0.7647058823529411,0.5294117647058824,0.23529411764705876,1,1.0,0.0,Y,Y,0,0.6470588235294117,0,2,0.11764705882352944,0.0,0
7,CON,thibami99w,0.7647058823529411,0.7647058823529411,0.0,1,1.0,0.0,Y,Y,0,0.6862745098039215,0,3,0.07843137254901966,0.0,0
8,CON,thibami99w,0.5294117647058824,0.7647058823529411,-0.23529411764705876,3,1.0,-2.0,Y,Y,0,0.6862745098039215,0,4,-0.1568627450980391,0.0,0
9,CON,thibami99w,0.6176470588235294,0.5294117647058824,0.08823529411764708,2,3.0,1.0,Y,Y,0,0.6372549019607844,0,5,-0.019607843137254943,0.0,0
10,CON,thibami99w,0.47058823529411764,0.6176470588235294,-0.1470588235294118,6,2.0,-4.0,N,Y,1,0.5392156862745098,1,6,-0.06862745098039214,0.3333333333333333,1
8,HOU,thompka99w,0.38235294117647056,0.5294117647058824,-0.1470588235294118,5,3.0,-2.0,N,Y,1,0.4901960784313726,1,1,-0.10784313725490202,0.3333333333333333,0
9,HOU,thompka99w,0.5,0.38235294117647056,0.11764705882352944,5,5.0,0.0,N,N,0,0.4705882352941176,2,2,0.029411764705882415,0.6666666666666666,1
5,LAS,thompka99w,0.7857142857142857,0.7,0.08571428571428574,1,1.0,0.0,Y,Y,0,0.7305322128851541,0,1,0.05518207282913157,0.6666666666666666,1
3,MIN,vandehe99w,0.3076923076923077,0.3157894736842105,-0.0080971659919028,8,8.0,0.0,N,N,0,0.3328272604588394,3,1,-0.025134952766531715,1.0,1
1,WAS,walkeda01w,0.4166666666666667,0.45,-0.033333333333333326,4,4.0,0.0,Y,Y,0,0.4166666666666667,0,1,0.0,0.6666666666666666,1
5,LAS,weisery99w,0.7857142857142857,0.7857142857142857,0.0,1,1.0,0.0,Y,Y,0,0.7571428571428571,0,1,0.02857142857142858,1.0,1
7,PHO,westhpa99w,0.5294117647058824,0.47058823529411764,0.05882352941176472,5,5.0,0.0,N,N,0,0.5,7,1,0.02941176470588236,0.6666666666666666,0
8,PHO,westhpa99w,0.6764705882352942,0.5294117647058824,0.1470588235294118,1,5.0,4.0,Y,N,0,0.5588235294117647,0,2,0.11764705882352944,0.6666666666666666,1
4,SAC,whisejo99w,0.75,0.3888888888888889,0.3611111111111111,3,3.0,0.0,Y,Y,0,0.5254629629629629,0,1,0.2245370370370371,0.3333333333333333,0
5,SAC,whisejo99w,0.5294117647058824,0.75,-0.22058823529411764,4,3.0,-1.0,Y,Y,0,0.5561002178649237,0,2,-0.026688453159041337,0.3333333333333333,0
6,SAC,whisejo99w,0.7352941176470589,0.5294117647058824,0.20588235294117652,1,4.0,3.0,Y,Y,0,0.6715686274509803,0,3,0.06372549019607854,0.0,0
7,SAC,whisejo99w,0.6176470588235294,0.7352941176470589,-0.11764705882352944,2,1.0,-1.0,Y,Y,0,0.6274509803921569,0,4,-0.009803921568627416,0.3333333333333333,1
10,SAC,whisejo99w,0.42857142857142855,0.23076923076923078,0.19780219780219777,6,6.0,0.0,N,N,0,0.3962508080155139,2,5,0.03232062055591467,0.6666666666666666,1
2,UTA,willifr99w,0.38461538461538464,0.7368421052631579,-0.3522267206477732,3,3.0,0.0,Y,Y,0,0.5607287449392713,0,1,-0.17611336032388664,1.0,1
2,DET,willigr99w,0.3125,0.4375,-0.125,7,5.0,-2.0,N,N,0,0.3125,1,1,0.0,1.0,1
3,DET,willigr99w,0.0,0.4090909090909091,-0.4090909090909091,8,8.0,0.0,N,N,0,0.24053030303030307,3,2,-0.24053030303030307,1.0,1
5,IND,wintebr01w,0.4411764705882353,0.47058823529411764,-0.02941176470588236,6,5.0,-1.0,N,N,0,0.4705882352941176,2,1,-0.029411764705882304,0.3333333333333333,0
6,IND,wintebr01w,0.6176470588235294,0.4411764705882353,0.17647058823529416,2,6.0,4.0,Y,N,0,0.5098039215686274,0,2,0.10784313725490202,0.3333333333333333,0
7,IND,wintebr01w,0.6176470588235294,0.6176470588235294,0.0,3,2.0,-1.0,Y,Y,0,0.5588235294117646,0,3,0.05882352941176483,0.0,0
8,IND,wintebr01w,0.6176470588235294,0.6176470588235294,0.0,2,3.0,1.0,Y,Y,0,0.6176470588235294,0,4,0.0,0.3333333333333333,1
8,MIN,zierddo99w,0.29411764705882354,0.391304347826087,-0.09718670076726343,6,7.0,1.0,N,N,0,0.25877702859800045,4,1,0.03534061846082309,0.6666666666666666,0
9,MIN,zierddo99w,0.47058823529411764,0.29411764705882354,0.1764705882352941,7,6.0,-1.0,N,N,0,0.38533674339300933,5,2,0.08525149190110831,0.6666666666666666,1
